Date;CPI;Fraction;GS2;GS10;2y_returns;2y_real_returns;10y_returns;10y_real_returns
1981-01;87;1981,041667;13,269;12,682;1,007522453;0,877748176;0,996289055;0,674287462
1981-02;87,9;1981,125;14,089;13,432;0,997354045;0,877235528;0,969578948;0,666380049
1981-03;88,5;1981,208333;13,179;13,132;1,027080065;0,865956234;1,02778225;0,639492626
1981-04;89,1;1981,291667;14,849;14,112;0,983273904;0,883376512;0,958773741;0,652803176
1981-05;89,8;1981,375;14,409;13,502;1,019705025;0,862751906;1,04500738;0,621675792
1981-06;90,6;1981,458333;14,669;13,862;1,007686253;0,872894695;0,991901972;0,644591659
1981-07;91,6;1981,541667;15,849;14,672;0,992829089;0,871837062;0,969344385;0,633726071
1981-08;92,3;1981,625;16,739;15,412;0,998700609;0,856135576;0,974727928;0,60759249
1981-09;93,2;1981,708333;16,699;15,842;1,014601406;0,848538656;0,991399929;0,587745861
1981-10;93,4;1981,791667;14,599;14,632;1,048841285;0,852614826;1,076347953;0,577064358
1981-11;93,7;1981,875;12,369;13,132;1,050046081;0,892342731;1,095137916;0,619792015
1981-12;94;1981,958333;13,639;13,982;0,98899322;0,934000984;0,965467419;0,676584552
1982-01;94,3;1982,041667;14,249;14,142;1,001187215;0,920772596;1,003143987;0,651135595
1982-02;94,6;1982,125;14,449;14,032;1,008543217;0,918932986;1,017658804;0,651104763
1982-03;94,5;1982,208333;14,529;14,182;1,01070946;0,92384457;1,003729616;0,660501219
1982-04;94,9;1982,291667;13,999;13,872;1,020972158;0,93472653;1,028474141;0,663666184
1982-05;95,8;1982,375;13,629;13,712;1,017876094;0,950307297;1,020209872;0,679686529
1982-06;97;1982,458333;14,669;14,442;0,994072513;0,958207757;0,973053479;0,686908495
1982-07;97,5;1982,541667;13,179;13,682;1,037340052;0,940744141;1,053169651;0,660129852
1982-08;97,7;1982,625;11,999;12,812;1,031097583;0,970867107;1,060118043;0,69166345
1982-09;97,9;1982,708333;11,239;11,732;1,023049061;0,999009477;1,073809984;0,731743889
1982-10;98,2;1982,791667;9,829;10,712;1,033906614;1,019947789;1,071926759;0,784148677
1982-11;98;1982,875;9,969;10,792;1,005757439;1,051309185;1,00406812;0,837982078
1982-12;97,6;1982,958333;9,533;10,389;1,015917654;1,059519915;1,033877525;0,843108215
1983-01;97,8;1983,041667;9,589;10,802;1,006967243;1,0807964;0,983585532;0,875243055
1983-02;97,9;1983,125;9,319;10,272;1,012713273;1,086100955;1,041886515;0,859115922
1983-03;97,9;1983,208333;9,879;10,622;0,998023828;1,09878535;0,987154978;0,894186993
1983-04;98,6;1983,291667;9,359;10,272;1,017324062;1,096613961;1,030568076;0,882701141
1983-05;99,2;1983,375;9,988;10,801;0,996868273;1,107691605;0,97644471;0,903225416
1983-06;99,5;1983,458333;10,15;10,899;1,005512444;1,097543851;1,003075133;0,876615307
1983-07;99,9;1983,541667;10,978;11,764;0,994205247;1,100266581;0,95858245;0,876659827
1983-08;100,2;1983,625;11,098;11,94;1,007085041;1,089510864;0,999600535;0,836985957
1983-09;100,7;1983,708333;10,476;11,39;1,020007022;1,093944974;1,042548327;0,834146665
1983-10;101;1983,791667;10,562;11,717;1,007243691;1,11029118;0,990364756;0,865320245
1983-11;101,2;1983,875;10,615;11,589;1,007886151;1,115012003;1,017289882;0,85443718
1983-12;101,3;1983,958333;10,813;11,801;1,005432094;1,121584198;0,997299008;0,867492492
1984-01;101,9;1984,041667;10,563;11,642;1,013331457;1,126563543;1,019162552;0,864295355
1984-02;102,4;1984,125;11,008;12,055;1,001144527;1,134860496;0,985869858;0,87567086
1984-03;102,6;1984,208333;11,491;12,471;1,000899747;1,130611722;0,986435389;0,859082186
1984-04;103,1;1984,291667;11,867;12,798;1,003158203;1,129423082;0,992071757;0,845777162
1984-05;103,4;1984,375;12,925;13,804;0,992012115;1,127495412;0,956472102;0,835002422
1984-06;103,7;1984,458333;13,156;13,839;1,006876178;1,115243976;1,009620442;0,796339337
1984-07;104,1;1984,541667;12,525;12,867;1,021666003;1,11966405;1,065842685;0,801674532
1984-08;104,5;1984,625;12,492;12,771;1,010997403;1,139527218;1,016106795;0,851175712
1984-09;105;1984,708333;12,029;12,431;1,018300355;1,147649263;1,029970154;0,861574859
1984-10;105,3;1984,791667;11,063;11,741;1,026639237;1,163086644;1,050679735;0,883170692
1984-11;105,3;1984,875;10,472;11,528;1,019442043;1,190668474;1,022338315;0,925285875
1984-12;105,3;1984,958333;10,007;11,514;1,016806058;1,213817502;1,010432289;0,945955203
1985-01;105,5;1985,041667;9,917;11,173;1,009904274;1,23421699;1,029984819;0,955823681
1985-02;106;1985,125;10,648;11,891;0,995640961;1,244078091;0,967606185;0,982617561
1985-03;106,4;1985,208333;10,44;11,647;1,012472338;1,232812394;1,024221539;0,946301986
1985-04;106,9;1985,291667;9,899;11,385;1,018109663;1,243496008;1,025237637;0,965579181
1985-05;107,3;1985,375;8,873;10,264;1,026271839;1,260093808;1,079065101;0,985317865
1985-06;107,6;1985,458333;8,613;10,179;1,011972805;1,288377918;1,013847684;1,059258572
1985-07;107,8;1985,541667;8,988;10,51;1,000597577;1,300168276;0,988145909;1,070932631
1985-08;108;1985,625;8,954;10,267;1,008086776;1,298531599;1,023838848;1,056274362
1985-09;108,3;1985,708333;8,852;10,273;1,009253758;1,306608399;1,008183567;1,079452032
1985-10;108,7;1985,791667;8,658;9,94;1,010791549;1,315046529;1,029509351;1,085271159
1985-11;109;1985,875;8,44;9,56;1,011060441;1,324346519;1,032571506;1,113185319
1985-12;109,3;1985,958333;7,97;8,986;1,015361784;1,33530907;1,045554303;1,146279835
1986-01;109,6;1986,041667;7,944;9,049;1,007102506;1,352100422;1,00337387;1,19520825
1986-02;109,3;1986,125;7,683;8,134;1,011257839;1,357976432;1,069683;1,195958135
1986-03;108,8;1986,208333;6,896;7,344;1,020494472;1,377033565;1,062305178;1,282807419
1986-04;108,6;1986,291667;6,786;7,335;1,00771843;1,411713115;1,006752834;1,368995523
1986-05;108,9;1986,375;7,357;8,051;0,995476446;1,425229231;0,95731086;1,380778317
1986-06;109,5;1986,458333;6,771;7,321;1,01663649;1,414873639;1,058070491;1,318192663
1986-07;109,5;1986,541667;6,481;7,275;1,010856258;1,430530461;1,009343831;1,387098342
1986-08;109,7;1986,625;5,915;6,919;1,015633023;1,446060668;1,031556608;1,400059155
1986-09;110,2;1986,708333;6,333;7,421;0,997403309;1,465989362;0,970600357;1,4416072
1986-10;110,3;1986,791667;6,232;7,321;1,007097742;1,455548418;1,013219964;1,392875895
1986-11;110,4;1986,875;6,191;7,136;1,005932539;1,464550531;1,019223152;1,410010164
1986-12;110,5;1986,958333;6,343;7,223;1,002422758;1,471904579;0,999799165;1,435813269
